drug_name	drug_id	structure_url	CAS_number	mechanism_of_action	target	actions
Asunaprevir	DB11586	https://www.drugbank.ca/structures/small_molecule_drugs/DB11586.sdf	630420-16-5	Not Available	Hepatitis C virus NS3 protease/helicase	antagonist
Enfuvirtide	DB00109	https://www.drugbank.ca/structures/small_molecule_drugs/DB00109.sdf	159519-65-0	Enfuvirtide binds to the first heptad-repeat (HR1) in the gp41 subunit of the viral envelope glycoprotein and prevents the conformational changes required for the fusion of viral and cellular membranes. It works by disrupting the HIV-1 molecular machinery at the final stage of fusion with the target cell, preventing uninfected cells from becoming infected. Enfuvirtide is a biomimetic peptide that was rationally designed to mimic components of the HIV-1 fusion machinery and displace them, preventing normal fusion. 	Envelope glycoprotein	Not Available
Vidarabine	DB00194	https://www.drugbank.ca/structures/small_molecule_drugs/DB00194.sdf	24356-66-9	Vidarabine stops replication of herpes viral DNA in 2 ways: 1) competitive inhibition of viral DNA polymerase, and consequently 2) incorporation into and termination of the growing viral DNA chain. This drug is a nucleoside analog and therefore has to be phosphorylated to be active. Vidarabine is sequentially phosphorylated by kinases to the triphosphate ara-ATP. This is the active form of vidarabine and is both an inhibitor and a substrate of viral DNA polymerase. When used as a substrate for viral DNA polymerase, ara-ATP competitively inhibits dATP leading to the formation of ‘faulty’ DNA. This is where ara-ATP is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand	DNA polymerase catalytic subunit	inhibitor
Vidarabine	DB00194	https://www.drugbank.ca/structures/small_molecule_drugs/DB00194.sdf	24356-66-9	Vidarabine stops replication of herpes viral DNA in 2 ways: 1) competitive inhibition of viral DNA polymerase, and consequently 2) incorporation into and termination of the growing viral DNA chain. This drug is a nucleoside analog and therefore has to be phosphorylated to be active. Vidarabine is sequentially phosphorylated by kinases to the triphosphate ara-ATP. This is the active form of vidarabine and is both an inhibitor and a substrate of viral DNA polymerase. When used as a substrate for viral DNA polymerase, ara-ATP competitively inhibits dATP leading to the formation of ‘faulty’ DNA. This is where ara-ATP is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand	DNA	incorporation into and destabilization
Vidarabine	DB00194	https://www.drugbank.ca/structures/small_molecule_drugs/DB00194.sdf	24356-66-9	Vidarabine stops replication of herpes viral DNA in 2 ways: 1) competitive inhibition of viral DNA polymerase, and consequently 2) incorporation into and termination of the growing viral DNA chain. This drug is a nucleoside analog and therefore has to be phosphorylated to be active. Vidarabine is sequentially phosphorylated by kinases to the triphosphate ara-ATP. This is the active form of vidarabine and is both an inhibitor and a substrate of viral DNA polymerase. When used as a substrate for viral DNA polymerase, ara-ATP competitively inhibits dATP leading to the formation of ‘faulty’ DNA. This is where ara-ATP is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand	Thymidine kinase	inducer
Vidarabine	DB00194	https://www.drugbank.ca/structures/small_molecule_drugs/DB00194.sdf	24356-66-9	Vidarabine stops replication of herpes viral DNA in 2 ways: 1) competitive inhibition of viral DNA polymerase, and consequently 2) incorporation into and termination of the growing viral DNA chain. This drug is a nucleoside analog and therefore has to be phosphorylated to be active. Vidarabine is sequentially phosphorylated by kinases to the triphosphate ara-ATP. This is the active form of vidarabine and is both an inhibitor and a substrate of viral DNA polymerase. When used as a substrate for viral DNA polymerase, ara-ATP competitively inhibits dATP leading to the formation of ‘faulty’ DNA. This is where ara-ATP is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand	Thymidine kinase	inducer
Oseltamivir	DB00198	https://www.drugbank.ca/structures/small_molecule_drugs/DB00198.sdf	196618-13-0	Oseltamivir is an ethyl ester prodrug requiring ester hydrolysis for conversion to the active form, oseltamivir carboxylate. The proposed mechanism of action of oseltamivir is inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release.	Neuraminidase	inhibitor
Oseltamivir	DB00198	https://www.drugbank.ca/structures/small_molecule_drugs/DB00198.sdf	196618-13-0	Oseltamivir is an ethyl ester prodrug requiring ester hydrolysis for conversion to the active form, oseltamivir carboxylate. The proposed mechanism of action of oseltamivir is inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release.	Liver carboxylesterase 1	other
Oseltamivir	DB00198	https://www.drugbank.ca/structures/small_molecule_drugs/DB00198.sdf	196618-13-0	Oseltamivir is an ethyl ester prodrug requiring ester hydrolysis for conversion to the active form, oseltamivir carboxylate. The proposed mechanism of action of oseltamivir is inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release.	Sialidase-1	inhibitor
Oseltamivir	DB00198	https://www.drugbank.ca/structures/small_molecule_drugs/DB00198.sdf	196618-13-0	Oseltamivir is an ethyl ester prodrug requiring ester hydrolysis for conversion to the active form, oseltamivir carboxylate. The proposed mechanism of action of oseltamivir is inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release.	Sialidase-2	inhibitor
